column,role,model_input
case_id,metadata,False
event_timestamp,metadata,False
split,metadata,False
merchant_id,metadata,False
customer_id,metadata,False
vertical,model_feature,True
payment_method,model_feature,True
order_amount_inr,metadata,False
refund_amount_inr,model_feature,True
refund_share,model_feature,True
account_age_days,model_feature,True
refund_reason,metadata,False
refund_method,metadata,False
device_id,metadata,False
address_id,metadata,False
payment_token_id,metadata,False
ring_label,target_only,False
ring_id,target_only,False
scenario_type,target_only,False
ring_topology,target_only,False
loss_sequence_position,target_only,False
refund_velocity_24h,model_feature,True
refund_velocity_7d,model_feature,True
merchant_refund_volume_index_30d,model_feature,True
shared_device_accounts_30d,model_feature,True
shared_address_accounts_90d,model_feature,True
shared_payment_accounts_30d,metadata,False
shared_identifier_types_30d,model_feature,True
device_payment_pair_accounts_30d,model_feature,True
linked_refund_burst_72h,model_feature,True
linked_merchants_30d,model_feature,True
graph_overlap_surprisal,model_feature,True
expected_loss_if_ring_inr,metadata,False
review_cost_inr,metadata,False
false_positive_cost_inr,metadata,False
simulator_internal_score,target_only,False
is_synthetic,metadata,False
generator_version,metadata,False
calibration_note,metadata,False
